"1016",77,73,12,13,7,21,35,0,10,27,105,40,25,36,12,25,144,39,33,59,13,14,1,2,17,2,0,2,1,2,2,17,0,0,2,1,0,0,2,7,3,0,0,2,0,16,12,14,8,22
"1017",97,104,19,7,7,27,68,7,6,74,279,74,32,93,21,29,33,450,89,106,10,16,16,13,8,12,4,3,1,2,5,14,10,35,23,3,0,1,1,6,4,3,0,2,0,19,11,3,6,11
"1018",38,75,15,9,0,20,41,3,3,22,90,39,11,69,7,3,35,95,227,39,6,5,9,14,1,3,4,2,7,8,2,10,3,9,1,6,0,1,1,1,11,10,0,0,0,7,2,2,6,3
"1019",37,69,46,8,7,35,17,4,2,29,77,41,30,76,6,6,28,92,38,334,32,36,19,14,4,15,4,4,5,3,7,8,6,17,3,9,0,0,1,1,4,5,1,0,0,3,2,10,6,5
"1020",4,1,0,0,0,1,2,0,1,3,3,2,2,2,0,0,0,6,4,4,61,2,9,25,38,26,28,4,7,3,4,6,8,17,3,2,0,0,0,0,3,3,0,2,1,1,0,0,0,1
"1021",13,3,0,1,0,4,1,0,0,2,11,6,5,4,0,3,7,14,2,3,18,78,18,10,9,8,32,1,27,12,11,10,9,18,14,1,0,1,4,1,4,9,0,0,0,1,0,2,2,0
"1022",0,2,0,0,0,0,0,0,0,1,2,1,2,0,3,1,2,8,0,10,7,20,113,24,15,7,1,5,9,7,9,11,8,20,5,15,0,1,4,4,22,22,0,0,1,5,0,0,2,0
"1023",0,4,0,0,1,0,1,0,0,1,3,1,0,0,0,0,1,3,3,8,29,14,20,112,13,7,7,4,12,15,8,9,17,22,18,72,0,0,2,16,47,62,0,4,1,4,0,0,0,1
"1024",1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,13,0,4,0,23,9,19,2,98,3,19,3,8,16,16,2,9,22,8,25,0,0,3,16,15,13,0,4,1,2,1,0,1,0
"1025",0,2,0,1,0,0,0,0,0,1,3,1,0,0,0,1,1,3,5,2,36,8,10,4,13,65,6,4,4,5,9,0,1,12,3,1,0,0,0,0,3,5,0,0,0,0,1,1,0,0
"1026",25,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,2,7,0,43,34,8,4,21,13,52,1,3,2,7,1,8,5,12,1,0,0,1,0,16,12,0,3,2,0,0,0,0,0
"1027",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,1,1,1,62,10,8,0,8,14,20,6,9,0,0,1,1,4,6,0,3,0,0,1,0,0,0
"1028",3,5,0,1,0,0,1,2,0,0,1,1,0,0,0,2,0,3,2,5,17,17,11,16,3,8,4,15,148,68,2,6,30,31,16,12,0,1,2,3,20,15,0,4,1,3,0,0,0,0
"1029",0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,2,1,1,4,5,8,15,12,14,2,18,66,112,3,26,16,93,37,15,0,1,0,4,39,73,0,0,0,6,0,0,1,2
"1030",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,12,15,7,9,16,14,10,1,7,3,80,1,8,13,8,6,0,0,0,1,7,6,0,0,0,0,0,0,0,1
"1031",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,3,1,12,3,11,3,5,0,2,13,5,23,4,90,23,15,20,19,0,0,0,14,15,29,0,5,0,2,0,1,0,0
"1032",1,0,1,0,26,0,0,0,0,0,0,4,2,1,2,0,1,4,0,1,4,9,7,5,8,2,9,9,18,18,5,15,95,24,22,18,0,2,0,1,33,21,0,5,0,3,0,3,0,0
"1033",4,2,1,2,2,2,3,0,0,0,0,1,0,4,0,0,0,4,5,3,18,26,52,24,23,21,5,33,30,62,11,19,22,186,85,49,0,4,5,23,58,113,0,12,5,5,1,5,5,4
"1034",2,2,0,3,1,4,0,0,0,1,3,0,0,0,0,0,0,0,1,3,5,8,13,18,9,4,9,6,11,29,11,18,36,67,157,18,0,7,1,9,27,37,0,4,2,12,3,0,0,2
"1035",2,7,0,0,2,2,0,0,0,0,1,0,1,1,0,0,1,0,2,0,6,6,14,69,14,4,4,4,1,9,3,24,18,37,12,104,0,5,8,16,9,31,0,11,4,0,1,0,0,0
